,SYMBOL,LDCP,OPEN,HIGH,LOW,CLOSE,CHANGE,CHANGE (%)_x,VOLUME,MARKET CAP.,PRICE,CHANGE (%)_y,1-YEAR CH. (%) *,PE RATIO (TTM),DIVIDEND YIELD (%),FREE FLOAT,30D VOLUME AVG.
0,AABS,708.23,719.97,748.00,715.00,715.00,6.77,0.96%,"1,245",12.4B,715.00,0.96%,33.02%,20.88,5.41,1.7M,278
1,AATM,43.98,47.00,47.00,45.00,46.51,2.53,5.75%,501,2.1B,46.51,5.75%,2146.86%,25.42,0.00,926.2K,"2,600"
2,ABL,133.50,134.84,134.84,133.01,134.10,0.60,0.45%,"2,554",,,,,,,,
3,ABOT,"1,102.50","1,117.98","1,118.91","1,087.00","1,100.35",-2.15,-0.20%,"6,335",107.7B,"1,100.35",-0.19%,143.34%,20.58,0.81,21.1M,"43,127"
4,ACIETF,15.25,15.33,15.36,15.32,15.34,0.09,0.59%,"17,500",,,,,,,,
5,ACPL,254.97,257.00,257.00,251.53,253.73,-1.24,-0.49%,"38,537",34.9B,253.73,-0.49%,171.83%,16.08,1.48,27.5M,"78,588"
6,ADAMS,47.96,47.65,47.65,47.65,47.96,0.00,0.00%,32,829.3M,47.96,0.00%,26.04%,0.00,2.49,4.3M,"2,410"
7,ADMM,40.34,41.40,41.49,40.51,40.89,0.55,1.36%,"2,372",3.4B,40.89,1.36%,-14.47%,45.94,2.07,4.2M,"17,453"
8,AGHA,9.11,9.14,9.14,8.97,9.00,-0.11,-1.21%,"224,131",5.4B,9.00,-1.21%,-15.01%,0.00,0.00,302.4M,"723,804"
9,AGHA-APR,9.22,9.65,9.65,9.02,9.09,-0.13,-1.41%,"2,114,500",,,,,,,,
10,AGHA-MAR,9.12,9.70,9.70,8.90,8.99,-0.13,-1.43%,"5,248,500",,,,,,,,
11,AGHA-MAY,9.37,9.23,9.23,9.23,9.23,-0.14,-1.49%,"3,084,500",,,,,,,,
12,AGIC,31.99,31.98,32.20,31.60,31.71,-0.28,-0.88%,527,2.3B,31.71,-0.88%,50.57%,3.48,15.28,28.8M,"6,811"
13,AGIL,116.24,116.00,119.90,116.00,119.30,3.06,2.63%,"32,166",4.3B,119.30,2.63%,20.97%,0.00,0.00,21.6M,"34,342"
14,AGL,69.06,69.95,70.50,66.50,67.11,-1.95,-2.82%,"580,980",28.5B,67.11,-2.82%,148.19%,0.00,0.00,212.3M,"1,168,995"
15,AGL-APR,69.77,70.05,71.00,67.25,67.97,-1.80,-2.58%,"2,702,000",,,,,,,,
16,AGL-MAR,69.01,69.40,69.64,66.80,67.03,-1.98,-2.87%,"680,000",,,,,,,,
17,AGP,190.08,190.10,194.25,190.01,190.11,0.03,0.02%,"90,560",,,,,,,,
18,AGSML,5.76,5.72,5.90,5.72,5.76,0.00,0.00%,11,456.5M,5.76,0.00%,11.84%,0.00,0.00,19.8M,"5,000"
19,AGTL,535.98,537.45,537.45,530.02,532.51,-3.47,-0.65%,"7,317",30.9B,532.51,-0.65%,55.69%,8.71,0.00,3.7M,"10,519"
20,AHCL,10.97,11.40,12.07,10.98,11.58,0.61,5.56%,"20,574,938",48.8B,11.58,5.56%,-69.51%,0.24,10.01,632.5M,"361,390"
21,AHL,61.67,61.50,65.99,61.50,65.23,3.56,5.77%,"156,429",4.3B,65.23,5.77%,45.93%,4.56,8.77,16.3M,"88,013"
22,AICL,46.85,47.50,47.50,46.10,46.59,-0.26,-0.55%,"46,539",16.3B,46.59,-0.55%,33.65%,4.04,6.01,262.5M,"513,542"
23,AICL-APR,47.00,46.96,46.96,46.90,46.90,-0.10,-0.21%,"875,500",,,,,,,,
24,AICL-MAR,46.52,45.52,46.50,45.52,45.95,-0.57,-1.23%,"902,500",,,,,,,,
25,AIRLINK,175.89,175.50,177.00,172.50,173.68,-2.21,-1.26%,"527,457",68.7B,173.68,-1.26%,186.74%,20.40,1.82,118.6M,"1,245,590"
26,AIRLINK-APRB,177.90,177.81,178.44,174.77,175.47,-2.43,-1.37%,"1,017,000",,,,,,,,
27,AIRLINK-MARB,176.15,176.00,176.59,172.00,173.22,-2.93,-1.66%,"1,021,500",,,,,,,,
28,AKBL,39.00,39.25,40.40,38.60,39.06,0.06,0.15%,"1,047,686",56.6B,39.06,0.15%,93.85%,2.69,7.84,434.8M,"577,236"
29,AKBL-APRB,39.60,43.48,43.48,38.95,40.31,0.71,1.79%,"3,369,500",,,,,,,,
30,AKBL-MARB,40.43,43.50,43.50,38.80,39.06,-1.37,-3.39%,"3,535,500",,,,,,,,
31,AKDHL,150.50,149.99,149.99,145.01,147.64,-2.86,-1.90%,189,370.2M,147.64,-1.90%,13.55%,57.22,0.00,1.0M,414
32,AKDSL,20.00,20.39,20.39,19.90,20.00,0.00,0.00%,"131,788",11.2B,20.00,0.00%,6.95%,4.09,12.91,27.9M,"141,597"
33,AKGL,45.10,42.00,42.00,42.00,45.10,0.00,0.00%,490,451.0M,45.10,0.00%,49.83%,17.55,0.00,1.0M,675
34,ALAC,4.90,5.00,5.25,5.00,5.18,0.28,5.71%,"10,001",777.9M,5.18,5.71%,3.60%,0.00,0.00,52.6M,"20,203"
35,ALIFE,26.17,26.10,26.48,25.70,25.97,-0.20,-0.76%,"33,650",6.5B,25.97,-0.76%,-7.25%,4.18,6.46,25.0M,"316,131"
36,ALNRS,74.34,72.55,75.00,72.50,72.95,-1.39,-1.87%,692,1.5B,72.95,-1.87%,-18.94%,0.00,0.00,6.1M,440
37,ALTN,13.45,13.35,13.50,13.01,13.37,-0.08,-0.59%,"638,639",4.9B,13.37,-0.60%,-36.64%,1.60,74.97,90.8M,"2,235,548"
38,AMBL,11.17,11.12,11.96,11.12,11.17,0.00,0.00%,10,4.8B,11.17,0.00%,-25.78%,0.00,0.00,21.4M,336
39,AMTEX,2.83,2.90,2.94,2.79,2.81,-0.02,-0.71%,"12,521",,,,,,,,
40,ANL,8.03,8.03,8.19,8.00,8.03,0.00,0.00%,"156,049",3.9B,8.03,0.00%,12.78%,9.13,0.00,242.7M,"636,703"
41,APL,452.11,454.96,456.00,449.10,453.83,1.72,0.38%,"26,103",56.5B,453.83,0.38%,20.75%,5.07,3.16,24.9M,"46,093"
42,ARCTM,20.17,20.59,21.49,18.21,19.36,-0.81,-4.02%,"5,335",255.1M,19.36,-4.02%,23.31%,2.31,0.00,2.6M,"9,156"
43,ARPL,479.75,480.03,481.09,461.00,480.00,0.25,0.05%,486,16.6B,480.00,0.05%,14.57%,0.00,0.00,8.6M,"8,385"
44,ARUJ,8.04,7.90,8.10,7.90,8.08,0.04,0.50%,502,,,,,,,,
45,ASC,7.36,7.36,7.38,7.17,7.23,-0.13,-1.77%,"124,584",,,,,,,,
46,ASHT,14.35,14.89,14.89,14.89,14.35,0.00,0.00%,10,668.2M,14.35,0.00%,28.82%,0.00,0.00,2.3M,"1,374"
47,ASL,10.02,9.97,10.08,9.83,9.89,-0.13,-1.30%,"301,543",9.1B,9.89,-1.30%,46.95%,0.00,0.00,325.5M,"3,323,562"
48,ASL-APR,10.06,10.07,10.12,10.02,10.03,-0.03,-0.30%,"2,842,500",,,,,,,,
49,ASL-MAR,9.96,9.96,10.00,9.79,9.85,-0.11,-1.10%,"3,043,000",,,,,,,,
50,ASTL,21.01,21.00,21.32,20.50,20.53,-0.48,-2.28%,"52,982",6.1B,20.53,-2.28%,-6.08%,0.00,0.00,74.3M,"339,827"
51,ASTM,16.67,16.70,16.70,15.32,16.00,-0.67,-4.02%,"6,369",242.8M,16.00,-4.02%,23.55%,4.36,0.00,2.3M,"39,409"
52,ATBA,342.87,341.00,345.50,337.00,338.65,-4.22,-1.23%,"15,565",11.9B,338.65,-1.23%,35.43%,9.60,5.25,7.0M,"37,707"
53,ATIL,57.87,57.87,59.00,56.25,57.73,-0.14,-0.24%,"19,215",,,,,,,,
54,ATLH,942.33,941.00,945.00,935.00,943.66,1.33,0.14%,"5,803",117.1B,943.66,0.14%,139.05%,8.20,7.69,12.4M,"11,936"
55,ATRL,654.73,655.00,663.95,646.00,647.31,-7.42,-1.13%,"414,473",69.0B,647.31,-1.13%,78.31%,4.39,2.46,42.6M,"638,940"
56,ATRL-APR,662.34,657.15,669.99,652.00,653.78,-8.56,-1.29%,"200,000",,,,,,,,
57,ATRL-MARB,656.28,652.00,663.44,645.00,646.53,-9.75,-1.49%,"202,000",,,,,,,,
58,AVN,52.62,53.19,53.50,52.00,52.23,-0.39,-0.74%,"1,573,003",21.8B,52.23,-0.74%,0.58%,24.52,3.92,124.5M,"966,376"
59,AVN-APR,53.18,53.51,54.04,52.55,52.83,-0.35,-0.66%,"982,000",,,,,,,,
